2025-01-15 10:57:01,118 [INFO] __main__ - Starting tournament...
2025-01-15 10:57:01,140 [INFO] tournament - Match: Python Bot #1 vs Python Bot #2, scenario=SquareEmpty, first=1
2025-01-15 10:57:06,616 [INFO] tournament - Match: Python Bot #1 vs Python Bot #2, scenario=SquareEmpty, first=2
2025-01-15 10:57:11,219 [INFO] tournament - Match: Python Bot #1 vs Python Bot #2, scenario=RectangleWithStartPositions, first=1
2025-01-15 10:57:16,301 [INFO] tournament - Match: Python Bot #1 vs Python Bot #2, scenario=RectangleWithStartPositions, first=2
2025-01-15 10:57:18,489 [INFO] tournament - Match: Python Bot #1 vs CSharp Bot, scenario=SquareEmpty, first=1
2025-01-15 10:57:23,615 [INFO] tournament - Match: Python Bot #1 vs CSharp Bot, scenario=SquareEmpty, first=2
2025-01-15 10:58:17,402 [INFO] tournament - Match: Python Bot #1 vs CSharp Bot, scenario=RectangleWithStartPositions, first=1
2025-01-15 10:59:00,607 [INFO] tournament - Match: Python Bot #1 vs CSharp Bot, scenario=RectangleWithStartPositions, first=2
2025-01-15 10:59:20,313 [INFO] tournament - Match: Python Bot #2 vs CSharp Bot, scenario=SquareEmpty, first=1
2025-01-15 10:59:49,279 [INFO] tournament - Match: Python Bot #2 vs CSharp Bot, scenario=SquareEmpty, first=2
2025-01-15 11:00:37,154 [INFO] tournament - Match: Python Bot #2 vs CSharp Bot, scenario=RectangleWithStartPositions, first=1
2025-01-15 11:01:28,524 [INFO] tournament - Match: Python Bot #2 vs CSharp Bot, scenario=RectangleWithStartPositions, first=2
